country,region,income_group,year,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt
Algeria,Africa,Lower-middle,2000,30903894,2.08554E+11,25.4,25.33,0,0,0.05,0.05,0,25.35,0,0,0.197,99.803,0.197,638.58,0
Algeria,Africa,Lower-middle,2001,31331226,2.2342E+11,26.62,26.57,0,0,0.07,0.07,0,26.55,0,0,0.263,99.737,0.263,638.24,0
Algeria,Africa,Lower-middle,2002,31750832,2.45361E+11,27.65,27.63,0,0,0.06,0.06,0,27.59,0,0,0.217,99.783,0.217,637.98,0
Algeria,Africa,Lower-middle,2003,32175813,2.73569E+11,29.57,29.58,0,0,0.26,0.26,0,29.31,0,0,0.879,99.121,0.879,634.09,0
Algeria,Africa,Lower-middle,2004,32628286,2.96774E+11,31.25,31.26,0,0,0.25,0.25,0,31,0,0,0.8,99.2,0.8,634.56,0
Algeria,Africa,Lower-middle,2005,33109258,3.26854E+11,33.91,33.99,0,0,0.55,0.55,0,33.36,0,0,1.622,98.378,1.622,629.31,0
Algeria,Africa,Lower-middle,2006,33623505,3.45705E+11,35.23,35.31,0,0,0.22,0.22,0,35.01,0,0,0.624,99.376,0.624,635.82,0
Algeria,Africa,Lower-middle,2007,34189420,3.71665E+11,37.19,37.2,0,0,0.22,0.22,0,36.97,0,0,0.592,99.408,0.592,635.92,0
Algeria,Africa,Lower-middle,2008,34816963,3.95659E+11,40.23,40.18,0,0,0.28,0.28,0,39.95,0,0,0.696,99.304,0.696,635.35,0
Algeria,Africa,Lower-middle,2009,35490442,4.18248E+11,38.5,38.47,0,0,0.3,0.3,0,38.2,0,0,0.779,99.221,0.779,634.55,0
Algeria,Africa,Lower-middle,2010,36188237,4.50706E+11,45.73,45.66,0,0,0.17,0.17,0,45.56,0,0,0.372,99.628,0.372,637,0
Algeria,Africa,Lower-middle,2011,36903374,4.82029E+11,51.22,51.08,0,0,0.5,0.5,0,50.72,0,0,0.976,99.024,0.976,633.35,0
Algeria,Africa,Lower-middle,2012,37646165,4.98418E+11,57.4,57.35,0,0,0.62,0.62,0,56.78,0,0,1.08,98.92,1.08,632.75,0
Algeria,Africa,Lower-middle,2013,38414176,5.12373E+11,59.89,59.8,0,0,0.33,0.33,0,59.56,0,0,0.551,99.449,0.551,636,0
Algeria,Africa,Lower-middle,2014,39205035,5.31844E+11,64.27,64.08,0,0,0.25,0.25,0,64.02,0,0,0.389,99.611,0.389,637,0
Algeria,Africa,Lower-middle,2015,40019528,5.51522E+11,68.84,68.81,0.06,0.02,0.22,0.14,0,68.62,0.087,0.029,0.32,99.68,0.32,637.42,0.04
Algeria,Africa,Lower-middle,2016,40850719,5.6917E+11,71.04,70.79,0.09,0.03,0.34,0.22,0,70.7,0.127,0.042,0.479,99.521,0.479,636.4,0.05
Algeria,Africa,Lower-middle,2017,41689302,5.77139E+11,76.07,75.73,0.57,0.01,0.64,0.06,0,75.43,0.749,0.013,0.841,99.159,0.841,634.15,0.26
Algeria,Africa,Lower-middle,2018,42505033,5.84064E+11,76.75,76.66,0.69,0.01,0.82,0.12,0,75.93,0.899,0.013,1.068,98.932,1.068,632.7,0.32
Algeria,Africa,Lower-middle,2019,43294551,5.89905E+11,81.61,81.47,0.71,0.01,0.87,0.15,0,80.74,0.87,0.012,1.066,98.934,1.066,632.77,0.32
Algeria,Africa,Lower-middle,2020,44042094,5.5982E+11,79.37,79.31,0.82,0.01,0.88,0.05,0,78.49,1.033,0.013,1.109,98.891,1.109,632.61,0.37
Algeria,Africa,Lower-middle,2021,44761099,5.78854E+11,85.6,84.45,0.79,0.01,0.81,0.01,0,84.79,0.923,0.012,0.946,99.054,0.946,633.53,0.36
Algeria,Africa,Lower-middle,2022,45477391,5.9582E+11,91.47,88.9,0.83,0.01,0.86,0.02,0,90.61,0.907,0.011,0.94,99.06,0.94,633.65,0.38
Algeria,Africa,Lower-middle,2023,46164222,,95.88,93.44,0.87,0.02,0.91,0.02,0,94.97,0.907,0.021,0.949,99.051,0.949,633.61,0.4
Algeria,Africa,Lower-middle,2024,46814302,,96.36,93.84,0.99,0.02,1.03,0.02,0,95.33,1.027,0.021,1.069,98.931,1.069,632.94,0.45
Argentina,South America,Upper-middle,2000,37213986,5.36481E+11,88.98,90.2,0,0.03,29,28.58,6.18,53.8,0,0.034,32.592,60.463,39.537,355.47,0.01
Argentina,South America,Upper-middle,2001,37624817,5.14867E+11,90.14,91.89,0,0.05,36.99,36.58,7.06,46.09,0,0.055,41.036,51.132,48.868,302.09,0.02
Argentina,South America,Upper-middle,2002,38029345,4.60559E+11,84.59,90.51,0,0.07,36.38,35.78,5.82,42.39,0,0.083,43.007,50.112,49.888,294.83,0.03
Argentina,South America,Upper-middle,2003,38424283,5.03104E+11,92.07,97.1,0,0.08,34.76,33.8,7.57,49.74,0,0.087,37.754,54.024,45.976,316.39,0.04
Argentina,South America,Upper-middle,2004,38815915,5.50306E+11,100.26,103.73,0,0.07,31.4,30.46,7.87,60.99,0,0.07,31.319,60.832,39.168,357.67,0.03
Argentina,South America,Upper-middle,2005,39216786,6.0105E+11,105.75,109.63,0,0.07,35.21,34.22,6.87,63.67,0,0.066,33.296,60.208,39.792,357.16,0.03
Argentina,South America,Upper-middle,2006,39622113,6.52297E+11,113.43,115.79,0,0.07,39.14,38.02,7.72,66.57,0,0.062,34.506,58.688,41.312,349.91,0.03
Argentina,South America,Upper-middle,2007,40016767,7.14725E+11,113.52,121.12,0,0.06,32.35,31.22,7.25,73.92,0,0.053,28.497,65.116,34.884,388.04,0.03
Argentina,South America,Upper-middle,2008,40424151,7.47157E+11,121.91,127.39,0,0.04,32.45,31.2,7.39,82.07,0,0.033,26.618,67.32,32.68,400.62,0.02
Argentina,South America,Upper-middle,2009,40854832,7.05921E+11,122.32,128.48,0,0.04,35.85,34.62,8.18,78.29,0,0.033,29.308,64.004,35.996,382.36,0.02
Argentina,South America,Upper-middle,2010,41288694,7.85785E+11,126,134.6,0,0.03,34.77,33.36,7.21,84.02,0,0.024,27.595,66.683,33.317,401.59,0.01
Argentina,South America,Upper-middle,2011,41730655,8.37743E+11,129.49,139.16,0,0.03,32.61,31.19,6.4,90.48,0,0.023,25.183,69.874,30.126,419.88,0.01
Argentina,South America,Upper-middle,2012,42161718,8.29147E+11,136.02,143.63,0.01,0.37,30.99,29.16,6.4,98.63,0.007,0.272,22.783,72.511,27.489,432.14,0.17
Argentina,South America,Upper-middle,2013,42582453,8.49088E+11,139.45,147.51,0.02,0.45,34.77,32.77,6.21,98.47,0.014,0.323,24.934,70.613,29.387,422.23,0.21
