country,year,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct
Algeria,2000,,,
Algeria,2001,,,40
Algeria,2002,,,-14.3
Algeria,2003,,,333.3
Algeria,2004,,,-3.8
Algeria,2005,,,120
Algeria,2006,,,-60
Algeria,2007,,,0
Algeria,2008,,,27.3
Algeria,2009,,,7.1
Algeria,2010,,,-43.3
Algeria,2011,,,194.1
Algeria,2012,,,24
Algeria,2013,,,-46.8
Algeria,2014,,,-24.2
Algeria,2015,,,-12
Algeria,2016,50,50,54.5
Algeria,2017,533.3,-66.7,88.2
Algeria,2018,21.1,0,28.1
Algeria,2019,2.9,0,6.1
Algeria,2020,15.5,0,1.1
Algeria,2021,-3.7,0,-8
Algeria,2022,5.1,0,6.2
Algeria,2023,4.8,100,5.8
Algeria,2024,13.8,0,13.2
Argentina,2000,,,
Argentina,2001,,66.7,27.6
Argentina,2002,,40,-1.6
Argentina,2003,,14.3,-4.5
Argentina,2004,,-12.5,-9.7
Argentina,2005,,0,12.1
Argentina,2006,,0,11.2
Argentina,2007,,-14.3,-17.3
Argentina,2008,,-33.3,0.3
Argentina,2009,,0,10.5
Argentina,2010,,-25,-3
Argentina,2011,,0,-6.2
Argentina,2012,,1133.3,-5
Argentina,2013,100,21.6,12.2
Argentina,2014,0,37.8,-0.7
Argentina,2015,-50,-4.8,-0.3
Argentina,2016,0,-6.8,-8.5
Argentina,2017,100,10.9,7
Argentina,2018,450,131.1,4.6
Argentina,2019,627.3,254.6,-1.2
Argentina,2020,67.5,88.2,5.3
Argentina,2021,64.2,37.5,1.1
Argentina,2022,33.6,9.4,14.1
Argentina,2023,11.6,2.3,22.2
Argentina,2024,21,11.7,1.5
Argentina,2025,29.5,15.2,1
Australia,2000,,,
Australia,2001,0,123.1,-1.6
Australia,2002,20,82.8,4
Australia,2003,0,32.1,4
Australia,2004,16.7,14.3,3.9
Australia,2005,14.3,62.5,6.9
Australia,2006,25,66.2,2
Australia,2007,10,31.9,-4
Australia,2008,27.3,21.4,-5.8
Australia,2009,107.1,28.3,5.4
Australia,2010,237.9,12.4,9.9
Australia,2011,108.2,28.9,38.1
Australia,2012,18.1,20.1,-1.1
Australia,2013,59.8,19.9,17.4
Australia,2014,28.6,5.6,-7.8
Australia,2015,25.3,21,9.3
Australia,2016,20,10.2,16.6
Australia,2017,19.9,1.3,-6.1
Australia,2018,38.2,23.1,26.3
Australia,2019,48.4,19.7,11.7
Australia,2020,30.3,16.1,16.3
Australia,2021,30.8,18.5,20.2
Australia,2022,20.4,12.1,13.2
Australia,2023,19.8,6.1,8.7
Australia,2024,11.6,2.7,3.9
Australia,2025,11.7,19.8,11.9
Austria,2000,,,
Austria,2001,,42.9,-2.8
Austria,2002,0,40,-0.8
Austria,2003,0,164.3,-15.9
Austria,2004,100,151.4,12.4
Austria,2005,0,43,3.2
Austria,2006,0,31.6,-0.5
Austria,2007,0,16.6,6.2
Austria,2008,50,-1.5,3.2
Austria,2009,66.7,-3,6
Austria,2010,80,5.6,-4.6
Austria,2011,88.9,-5.8,-9.1
Austria,2012,100,26.8,25.5
Austria,2013,85.3,28,-1.6
Austria,2014,25.4,22.2,-0.6
Austria,2015,19,25.7,-5.2
Austria,2016,17,8.1,7.3
Austria,2017,15.5,25.6,-0.1
Austria,2018,15,-8.2,-1.9
Austria,2019,16.4,23.5,9.1
Austria,2020,20,-8.9,1.4
Austria,2021,36.3,-0.7,-4.8
Austria,2022,36.3,7.4,-4.4
Austria,2023,81.8,11,19.3
Austria,2024,18.1,13.7,12.5
Austria,2025,26.7,-9.1,-9.5
Bangladesh,2000,,,
Bangladesh,2001,,,4.3
Bangladesh,2002,,,7.1
Bangladesh,2003,,,6.7
Bangladesh,2004,,,8
Bangladesh,2005,,,5.8
Bangladesh,2006,,,8.6
Bangladesh,2007,100,,-45.3
Bangladesh,2008,0,,26.3
Bangladesh,2009,50,,-51
Bangladesh,2010,133.3,,76.6
Bangladesh,2011,-14.3,,18.1
Bangladesh,2012,50,,-7.1
Bangladesh,2013,44.4,,17.6
Bangladesh,2014,23.1,,-27.1
Bangladesh,2015,25,,2.6
Bangladesh,2016,10,0,55
Bangladesh,2017,13.6,0,4
Bangladesh,2018,24,0,8.5
Bangladesh,2019,19.4,0,-15
Bangladesh,2020,24.3,0,5
Bangladesh,2021,32.6,0,8
Bangladesh,2022,42.6,0,17.8
Bangladesh,2023,23,-100,8.2
Bangladesh,2024,14,,11.6
Bangladesh,2025,27.9,,15.1
Belgium,2000,,,
Belgium,2001,,100,2.9
Belgium,2002,,50,5.6
Belgium,2003,,50,5.3
Belgium,2004,,55.6,25
Belgium,2005,,64.3,40.7
Belgium,2006,,60.9,40.3
Belgium,2007,,32.4,17.9
Belgium,2008,300,30.6,26.6
Belgium,2009,325,54.7,23.1
Belgium,2010,241.2,31.3,20.8
Belgium,2011,108.6,78.5,27.2
Belgium,2012,77.7,19,25.7
Belgium,2013,22.8,33,11.5
Belgium,2014,9.5,25.9,4.2
Belgium,2015,5.9,20.6,18.3
Belgium,2016,1.3,-2.7,-1.3
Belgium,2017,6.8,20.3,10.9
Belgium,2018,17.8,16.1,8.6
Belgium,2019,9,28.8,13.3
Belgium,2020,20.2,31.4,20.6
Belgium,2021,10,-6.3,-3
Belgium,2022,22.4,2.9,7.4
Belgium,2023,13.8,25,12.4
Belgium,2024,9.3,-8.9,-2.5
Belgium,2025,22.1,-2.4,6
Brazil,2000,,,
Brazil,2001,,,-11.3
Brazil,2002,,100,7
Brazil,2003,,0,7.2
Brazil,2004,,0,5
Brazil,2005,,50,5.3
Brazil,2006,,166.7,3.6
Brazil,2007,,175,7.9
Brazil,2008,,78.8,-0.6
Brazil,2009,,5.1,6.3
Brazil,2010,,75.8,5.4
Brazil,2011,,23.9,6
Brazil,2012,,87,-1.6
Brazil,2013,,30.3,-3.9
Brazil,2014,,85.6,-1.3
Brazil,2015,200,77.1,-0.3
Brazil,2016,50,54.8,8
Brazil,2017,822.2,26.5,0.3
Brazil,2018,316.9,14.4,6.1
Brazil,2019,92.2,15.5,4.1
Brazil,2020,61.7,1.9,1.5
Brazil,2021,55.8,26.7,-2.9
Brazil,2022,79.9,12.9,16.9
Brazil,2023,68,17.4,6.1
Brazil,2024,40.9,13.2,3.3
Brazil,2025,24.3,8.4,-0.2
Canada,2000,,,
Canada,2001,0,26.9,-6.7
Canada,2002,0,24.2,5.3
Canada,2003,0,68.3,-3.7
Canada,2004,-50,36.2,0.8
Canada,2005,100,67,6.7
Canada,2006,0,57.3,-2.3
Canada,2007,50,21.9,4.2
Canada,2008,33.3,25.9,2.5
Canada,2009,175,75.2,-1.3
Canada,2010,136.4,31.3,-3.6
Canada,2011,119.2,16.9,7
Canada,2012,54.4,11,1.7
Canada,2013,70.5,-1.4,3
Canada,2014,41.3,15,-2
Canada,2015,36.3,110.4,3.6
Canada,2016,4.2,14.7,2.1
Canada,2017,10,1.9,2.3
Canada,2018,5.4,6.2,-1.6
Canada,2019,7.4,-1.8,-1.1
Canada,2020,8.5,8.8,1.9
Canada,2021,25.6,4.3,-0.3
Canada,2022,12.3,5.8,3.9
Canada,2023,46.3,2.6,-7.3
Canada,2024,12.1,15.6,-2.4
Canada,2025,8,9.9,1.9
Chile,2000,,,
Chile,2001,,,11.6
Chile,2002,,0,4.9
Chile,2003,,0,-3
Chile,2004,,0,2.2
Chile,2005,,0,17.7
Chile,2006,,0,8.1
Chile,2007,,0,-15.4
Chile,2008,,300,5.7
Chile,2009,,100,8.6
Chile,2010,,312.5,-17.6
Chile,2011,,3,7.1
Chile,2012,,20.6,-2.7
Chile,2013,,34.1,3
Chile,2014,4700,161.8,15.6
Chile,2015,158.3,46.5,7.7
Chile,2016,108.9,16.1,4.5
Chile,2017,48.3,43.7,1.7
Chile,2018,33.3,1.7,9.1
Chile,2019,23,36.6,3.5
Chile,2020,19.5,13.5,4.3
Chile,2021,40.2,37.3,6.4
Chile,2022,48.8,16.5,16.9
Chile,2023,14.2,6.5,11.9
Chile,2024,12.5,10.3,10.2
Chile,2025,9.9,11,-5.4
China,2000,,,
China,2001,50,22,24.5
China,2002,66.7,16.7,3.8
China,2003,20,19,-1.4
China,2004,33.3,28,24.4
China,2005,0,52.3,13.1
China,2006,12.5,90.3,10.5
China,2007,22.2,47.7,12.1
China,2008,36.4,139.1,32.8
China,2009,86.7,110.8,-0.1
China,2010,150,78.9,18.4
China,2011,272.9,50,0.8
China,2012,37.5,39.1,26.1
China,2013,133.1,34.2,9.4
China,2014,180.9,15.6,17.9
China,2015,67.9,16.2,8.1
China,2016,68.5,29.8,9.3
China,2017,77.1,26.5,9.5
China,2018,50.2,20.1,10.1
China,2019,26.6,10.8,9.8
China,2020,16.6,15.1,8.5
China,2021,25.2,40.6,12.1
China,2022,30.7,16.3,9.1
China,2023,36.7,16.2,8.4
China,2024,43.6,12.5,17.4
China,2025,40,13.9,15.3
Colombia,2000,,,
Colombia,2001,0,,-0.8
Colombia,2002,0,,6.7
Colombia,2003,0,,6.4
Colombia,2004,0,,10.7
Colombia,2005,0,0,-0.6
Colombia,2006,0,20,7.4
Colombia,2007,0,-16.7,3.9
Colombia,2008,0,0,4.4
Colombia,2009,0,20,-11.4
Colombia,2010,0,-33.3,3
Colombia,2011,0,0,18.8
Colombia,2012,0,25,-2.6
Colombia,2013,0,20,3.6
